N,x,h1,h2,h3,h4,h5
304, 790.357422, 7.469452, 4.656281, 4.947299, 14.647886, 15.132915
305, 792.957275, 9.797592, 4.753287, 3.977241, 13.483815, 13.483815
306, 795.557129, 11.543698, 5.044305, 3.686223, 13.289804, 11.446692
307, 798.156982, 12.998786, 5.238317, 3.686223, 14.647886, 9.409569
308, 800.756836, 14.356868, 5.917358, 4.268258, 17.946085, 7.857475
309, 803.356750, 15.423933, 7.372446, 5.335323, 21.826321, 7.081428
310, 805.956604, 16.005968, 9.118551, 6.596399, 25.027514, 7.275440
311, 808.556458, 15.520939, 10.670646, 7.857475, 27.258648, 7.857475
312, 811.156311, 14.162856, 11.834716, 8.924540, 28.713736, 8.536516
313, 813.756165, 12.222739, 12.513757, 9.603580, 29.877808, 8.342505
314, 816.356018, 10.670646, 12.998786, 9.603580, 30.362837, 7.954481
315, 818.955872, 9.894598, 13.483815, 9.118551, 29.295773, 7.469452
316, 821.555725, 9.215557, 13.677827, 8.342505, 27.064636, 6.887416
317, 824.155579, 8.148493, 13.871839, 7.857475, 23.766438, 5.529335
318, 826.755493, 6.596399, 13.192798, 6.887416, 20.953268, 3.880235
319, 829.355347, 5.238317, 12.416751, 6.402387, 18.237103, 3.298199
320, 831.955200, 4.462270, 11.446692, 6.402387, 16.588003, 4.171252
321, 834.555054, 4.462270, 10.379628, 7.178434, 14.841898, 5.432329
322, 837.154907, 5.238317, 9.506575, 8.439510, 13.386809, 6.305381
323, 839.754761, 6.305381, 9.894598, 9.312563, 11.834716, 6.499393
324, 842.354614, 7.081428, 11.446692, 9.409569, 10.476634, 6.790411
325, 844.954468, 7.857475, 13.483815, 9.021545, 9.409569, 7.372446
326, 847.554321, 8.439510, 14.647886, 7.954481, 8.827534, 7.954481
327, 850.154175, 9.118551, 15.035910, 7.178434, 8.051487, 8.051487
328, 852.754089, 9.409569, 14.550880, 6.499393, 7.469452, 7.469452
329, 855.353943, 9.797592, 13.968844, 6.499393, 6.790411, 6.596399
330, 857.953796, 9.894598, 13.289804, 7.081428, 6.596399, 5.820352
331, 860.553650, 9.603580, 12.707768, 8.245499, 6.402387, 4.947299
332, 863.153503, 9.021545, 11.834716, 9.991604, 6.790411, 4.462270
333, 865.753357, 7.954481, 10.476634, 11.446692, 7.178434, 4.074246
334, 868.353210, 6.790411, 8.730528, 11.737710, 7.469452, 4.074246
